,tile,gesamt,Abies,Acer,Aesculus,Ailanthus,Alnus,Amelanchier,Betula,Carpinus,Castanea,Catalpa,Cedrus,Celtis,Cercidiphyllum,Chamaecyparis,Cornus,Corylus,Crataegus,Cryptomeria,Davidia,Decaisnea,Euonymus,Fagus,Fraxinus,Ginkgo,Gleditsia,Ilex,Juglans,Juniperus,Koelreuteria,Laburnum,Larix,Liquidambar,Liriodendron,Magnolia,Malus,Malus-Hybride,Mespilus,Metasequoia,Metasequoia glyptostroboides,Nyssa,Parrotia,Paulownia,Picea,Pinus,Platanus,Populus,Prunus,Pseudotsuga,Pterocarya,Pyrus,Quercus,Robinia,Salix,Sambucus,Sequoiadendron,Sophora,Sorbus,Taxodium,Taxus,Thuja,Tilia,Tsuga,Ulmus,Viburnum,Zelkova,x,y
131,dop10rgbi_32_408_5755_1_nw_2020.jp2,222,0,55,0,5,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,5755
132,dop10rgbi_32_406_5752_1_nw_2020.jp2,45,0,3,0,0,1,0,1,2,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,406,5752
133,dop10rgbi_32_405_5755_1_nw_2020.jp2,728,0,156,6,0,0,0,15,99,0,0,0,0,0,0,0,36,5,0,0,0,0,6,93,10,9,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,77,0,8,0,0,5,47,24,0,0,0,0,16,0,0,0,106,0,0,0,0,405,5755
134,dop10rgbi_32_403_5762_1_nw_2020.jp2,77,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,13,0,11,0,0,0,0,0,0,0,15,0,0,0,0,403,5762
135,dop10rgbi_32_404_5754_1_nw_2020.jp2,344,0,61,0,0,0,3,6,16,0,0,0,0,0,0,0,8,14,0,0,0,0,5,8,0,10,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,90,8,0,0,0,0,11,0,0,0,72,0,0,0,0,404,5754
136,dop10rgbi_32_409_5754_1_nw_2020.jp2,181,0,15,1,0,4,0,43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,55,0,1,0,0,0,5,0,0,0,10,0,0,0,0,409,5754
137,dop10rgbi_32_407_5753_1_nw_2020.jp2,203,0,30,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,147,0,2,0,0,0,1,0,0,0,5,0,0,0,0,407,5753
138,dop10rgbi_32_402_5749_1_nw_2020.jp2,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,402,5749
139,dop10rgbi_32_405_5751_1_nw_2020.jp2,334,0,56,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,176,0,0,0,0,0,5,0,0,0,49,0,0,0,0,405,5751
140,dop10rgbi_32_401_5759_1_nw_2020.jp2,500,0,60,3,0,0,1,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,39,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,28,8,0,0,0,10,216,0,0,0,0,14,2,0,0,0,75,0,0,0,0,401,5759
141,dop10rgbi_32_400_5761_1_nw_2020.jp2,338,0,48,1,0,0,4,4,74,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,73,0,1,0,0,0,19,0,0,0,61,0,0,0,0,400,5761
142,dop10rgbi_32_408_5751_1_nw_2020.jp2,202,0,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,103,0,0,0,0,0,0,0,0,0,22,0,15,0,0,408,5751
143,dop10rgbi_32_406_5756_1_nw_2020.jp2,354,0,94,20,0,4,0,1,21,0,1,0,0,1,0,0,2,3,0,0,0,0,0,4,3,17,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,21,0,12,0,0,9,28,8,0,0,0,0,2,0,0,0,85,0,0,0,0,406,5756
144,dop10rgbi_32_409_5750_1_nw_2020.jp2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,5750
145,dop10rgbi_32_407_5757_1_nw_2020.jp2,694,0,152,28,2,6,0,7,20,1,0,0,0,0,0,0,6,3,0,0,0,0,1,19,3,6,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,71,0,6,0,0,4,35,9,1,0,0,1,26,0,1,0,272,0,0,0,0,407,5757
146,dop10rgbi_32_401_5760_1_nw_2020.jp2,44,0,6,0,0,0,2,6,6,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,401,5760
147,dop10rgbi_32_400_5758_1_nw_2020.jp2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5758
148,dop10rgbi_32_404_5750_1_nw_2020.jp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,5750
149,dop10rgbi_32_403_5748_1_nw_2020.jp2,108,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,403,5748
